Names,Meaning,Vectors
Юлия ,Учтивая,
Эльмира,Принцесса,
Светлана,Светлая,
Екатерина,Чистая,
Виктория,Завоевательница,
Инесса,Чистая,
Галина,Спокойная,
Ануш ,Дыхание утра,
Татьяна,Повелительница,
Янина,Правительница,
Елена,Зеленая,
Георгий,Земледелец,
Анастасия,Воскрешениеа,
Галина,Спокойная,
Ольга,Светлая,
Надежда ,Надежда,
Елена,Зеленая,
Марина ,Морская,
Марина,Морская,
Илья,Решительный,
Артем,Мясник,
Александра,Защитница,
Сабина ,Сладкая,
Татьяна ,Повелительница,
Виктория ,Завоевательница,
Злата,Золотая,
Татьяна ,Повелительница,
Анна ,Польза,
Елена ,Зеленая,
Аанна ,Милостивая,
Дарья ,Огонь великий,
Дарья ,Огонь великий,
Марина ,Морская,
Максим ,Большой,
Наталья,Родной,
Николай ,Победитель народов,
Марина ,Морская,
Евгения,Благородная,
Ольга,Светлая,
Наталия ,Природная,
Марина ,Морская,
Ирина,Мир,
Светлана ,Светлая,
Людмила,Польза,
Елена ,Зеленая,
Ксения ,Чужой,
Галина ,Спокойная,
Анна ,Польза,
Елена,Зеленая,
Ирина,Мир,
Владимир,Владеющий миром,
Елена ,Зеленая,
Борис ,Борец,
Марина,Морская,
Юань,Яркий мир,
Лидианна ,Солнце,
Михаил,Подобный богу,
Алексей ,Защитник,
Фотина ,Светлая,
Карреньо ,Портрет,
Наталья ,Родной,
Рената ,Обновленная,
Татьяна,Повелительница,
Ольга ,Светлая,
Ольга,Светлая,
Анна ,Польза,
Любовь ,Людям милая,
Маргарита ,Жемчужина,
Елена,Зеленая,
Наталья ,Родной,
Ирина ,Мир,
Елена ,Зеленая,
Кристина,Последователь,
Оксана,Чужой,
Анастасия,Воскрешение,
Юлия ,Учтивая,
Юлия ,Учтивая,
Наталья,Родной,
Олеся,Лесная,
Павел ,Небольшой,
Инна ,Бурный поток,
Евгения,Благородная,
Евгения ,Благородная,
Сергей,Высокородный ,
Светлана ,Светлая,
Марина,Морская,
Аанастасия ,Воскрешение,
Ольга,Светлая,
Виктория,Завоевательница,
Ирина ,Мир,
Мария ,Горькая,
Елена ,Зеленая,
Юлия,Учтивая,
Светлана,Светлая,
Елена,Зеленая,
Анжелика,Ангельская,
Юлия ,Учтивая,
Юлия,Учтивая,
Ирина ,Мир,
Елена,Зеленая,
Татьяна ,Повелительница,
Людмила,Людям милая,
Аннаит ,Сердце,
Татьяна ,Повелительница,
Павел ,Небольшой,
Марина ,Морская,
Елена ,Зеленая,
Наталья ,Родной,
Анна ,Польза,
Ольга ,Светлая,
Наталья ,Родной,
Наталья,Родной,
Марина,Морская,
Ирина ,Мир,
Анна ,Польза,
Вера ,Вера,
Анна ,Польза,
Надежда ,Надежда,
Ирина,Мир,
Наталья ,Родной,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Елена,Зеленая,
Ольга,Светлая,
Ирина,Мир,
Юлия,Учтивая,
Мария,Горькая,
Дмитрий,Земледелец,
Ольга,Светлая,
Елена,Зеленая,
Ирина,Мир,